Ti00,<Length>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<Event>:,RMQ0 ,RMQ1 ,RMQ2 ,RMQ3 ,RMQ4 ,RMQ5 ,RMQ6 ,RMQ7 ,RMQ8 ,RMQ9 ,<CPU>:,us,sy
29:45.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,16
29:45.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,16
29:45.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,16
29:45.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,16
29:45.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,22,16
29:46.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12,10
29:46.1,,0,83,96,0,95,101,0,0,0,101,,0,0,0,0,0,0,0,0,0,0,,12,10
29:46.2,,0,0,6,21,0,0,21,0,21,101,,0,0,0,0,0,1,0,0,0,1,,12,10
29:46.3,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12,10
29:46.4,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12,10
29:46.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12,10
29:46.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12,10
29:46.7,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12,10
29:46.8,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12,10
29:46.9,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,12,10
29:47.0,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,25,14
29:47.1,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,25,14
29:47.2,,73,5,51,0,73,52,49,52,72,0,,1,0,0,0,0,1,0,0,0,0,,25,14
29:47.3,,0,0,0,0,0,0,49,0,0,0,,0,1,0,0,0,0,1,1,0,0,,25,14
29:47.4,,29,24,24,23,28,23,43,24,12,24,,0,0,0,0,0,0,0,0,0,0,,25,14
29:47.5,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,25,14
29:47.6,,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,,25,14
